trial,network,nodes,edges,probability,distribution,task,proportion,peak,power,srd,samples,steps,time,strategy,init_max_performance,p0,p500,s0,s500
7,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,7.25,Random,1.0,0.2422,0.7924,11,7
8,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.85,Best,1.0,0.2787,0.7883,11,6
8,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,6.17,Conformity,1.0,0.2787,0.7883,11,6
8,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,7.09,Random,1.0,0.2787,0.7883,11,6
9,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.59,Best,1.0,0.2871,0.8018,11,6
9,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,6.01,Conformity,1.0,0.2871,0.8018,11,6
9,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,7.31,Random,1.0,0.2871,0.8018,11,6
10,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.78,Best,1.0,0.2068,0.7918,11,6
10,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.98,Conformity,1.0,0.2068,0.7928,11,5
10,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,7.37,Random,1.0,0.2068,0.7928,11,5
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.09,Best,1.0,0.11,0.5501,11,6
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.37,Conformity,1.0,0.11,0.5501,11,6
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.14,Random,1.0,0.11,0.5501,11,6
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,5.95,Best,1.0,0.08,0.5501,11,6
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.34,Conformity,1.0,0.08,0.5501,11,6
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.38,Random,1.0,0.08,0.5501,11,6
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.13,Best,1.0,0.06,0.5201,11,8
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.24,Conformity,1.0,0.06,0.5201,11,7
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.44,Random,1.0,0.06,0.5201,11,7
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.2,Best,1.0,0.1001,0.5601,11,5
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.17,Conformity,1.0,0.1001,0.5601,11,5
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.56,Random,1.0,0.1001,0.5601,11,5
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.04,Best,1.0,0.11,0.5401,11,7
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.42,Conformity,1.0,0.11,0.5401,11,7
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.73,Random,1.0,0.11,0.5401,11,7
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.18,Best,1.0,0.08,0.5201,11,5
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.39,Conformity,1.0,0.08,0.5201,11,5
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.8,Random,1.0,0.08,0.5201,11,5
7,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,5.94,Best,1.0,0.14,0.5901,11,6
7,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.48,Conformity,1.0,0.14,0.5901,11,5
7,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.5,Random,1.0,0.14,0.5901,11,5
8,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,5.95,Best,1.0,0.09,0.5101,11,6
8,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.18,Conformity,1.0,0.09,0.5101,11,6
8,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.62,Random,1.0,0.09,0.5101,11,6
9,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.0,Best,1.0,0.06,0.5401,11,6
9,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.18,Conformity,1.0,0.06,0.5401,11,6
9,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.51,Random,1.0,0.06,0.5401,11,6
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,5.99,Best,1.0,0.06,0.5401,11,8
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,6.46,Conformity,1.0,0.06,0.5401,11,7
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,6,500,7.42,Random,1.0,0.06,0.5401,11,7
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,5.83,Best,1.0,0.263,0.7962,11,5
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,6.09,Conformity,1.0,0.263,0.7972,11,5
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,7.44,Random,1.0,0.263,0.7983,11,6
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,5.78,Best,1.0,0.2805,0.7715,11,7
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,6.02,Conformity,1.0,0.2805,0.7859,11,8
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,7.17,Random,1.0,0.2805,0.787,11,7
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,5.56,Best,1.0,0.3179,0.787,11,7
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,6.0,Conformity,1.0,0.3179,0.7918,11,7
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,7.52,Random,1.0,0.3179,0.7928,11,6
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,5.82,Best,1.0,0.2812,0.7859,11,7
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,6.38,Conformity,1.0,0.2812,0.787,11,7
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,7.53,Random,1.0,0.2812,0.787,11,7
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,5.63,Best,1.0,0.2277,0.8119,11,4
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,6.26,Conformity,1.0,0.2277,0.8119,11,4
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,6,500,7.19,Random,1.0,0.2277,0.8119,11,4
